Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Project Documents and Resource Library | Office of Community Investment and Infrastructure,331,229,0:03:39,55,44.83,36.56
Office of the Mayor : News Releases : Mayor Lee’s Statement on Additional $50 Million in Proposed Affordable Housing Bond for Housing in Mission,331,301,0:02:56,180,84.44,63.75
San Francisco : Fine Arts Museums of San Francisco,330,291,0:02:03,254,86.61,78.79
San Francisco Public Works : Street Dedication and Acceptance,330,163,0:00:24,91,13.19,27.27
San Francisco Rent Board : Topic No. 360: Unlawful Initial Rent Claims by a Subtenant,330,310,0:00:54,35,74.29,16.06
City and County of San Francisco : Combined Charity,330,276,0:00:53,264,72.35,61.52
City and County of San Francisco : Small Business Week,330,158,0:01:14,19,42.11,11.21
Formula Retail Employee Rights Ordinances | Office of Labor Standards Enforcement,330,276,0:03:58,167,70,64.85
San Francisco Department of Human Resources : 24-PLUS Enhanced for Supervisors - August 2015,330,218,0:03:58,173,67.63,59.09
Records and Reception | Adult Probation Department,329,252,0:00:18,7,42.86,10.64
San Francisco Fire Department : 2013 Meritorious Conduct Awards - Class D Unit Citation,329,306,0:03:04,289,86.16,82.37
San Francisco District Attorney : #1in5 - Ending Sexual Assault on College Campuses,329,151,0:02:57,113,68.14,38.6
City and County of San Francisco : Polling Place Owners,329,289,0:01:28,53,60.38,31.31
Mayor's Office of Housing : Affordable Rental Housing,329,293,0:01:29,44,81.82,30.4
San Francisco : Health Commission,329,284,0:03:01,219,84.93,70.21
Legislation / Ordinances | Department of Building Inspection,328,268,0:03:14,82,56.1,33.23
City and County of San Francisco : 2015 Health Service Board Election,328,219,0:00:55,41,56.1,20.73
Office of the Mayor : News Releases : Mayor Lee’s Statement on Passing of George Wong,328,284,0:01:45,162,77.16,56.1
"Property Inspection, Violation & Permit History Records | Fire Department",328,267,0:00:43,43,65.12,23.17
San Francisco Department of Emergency Management : Exercise Registration / Assistance Request Form,328,325,0:00:05,25,88,15.55
San Francisco Port Department : Port News : Queen Elizabeth Docks in San Francisco,328,149,0:00:33,10,10,13.41
Office of the Mayor : Proposed Five Year Financial Plan -- FY 2015-16 through 2019-20,327,304,0:02:46,175,85.14,66.36
San Francisco : Webmaster Technical Assistance,327,291,0:02:09,85,78.82,59.02
San Francisco Fire Department : 4.20 Design of Fire Pump Suction Piping and Fire Pump Location,327,309,0:01:54,298,93.29,89.91
Adoption Center - Small Animals | Animal Care & Control,327,222,0:01:19,11,54.55,29.36
City and County of San Francisco : Commissioner Attendance,327,216,0:01:46,20,50,15.6
City and County of San Francisco : Small Business Saturday,327,291,0:01:58,211,87.2,68.5
Members | Local Homeless Coordinating Board,327,254,0:01:19,11,72.73,25.99
Office of the Mayor : News Releases : Mayor Lee Announces $6.7 Million Investment to Strengthen Local Small Businesses & Neighborhoods,327,290,0:03:40,213,78.87,68.5
Related Links | Office of Citizen Complaints,326,218,0:01:21,8,22.22,25.15
San Francisco Port Department : 2772 Registration Form to Download Electronic Bid Documents,326,114,0:00:35,9,0,3.99
San Francisco Port Department : Sailing Instructions,326,142,0:00:56,139,0,42.94
Board of Supervisors : Agendas,326,160,0:00:16,27,85.19,9.2
City and County of San Francisco : Funding Opportunites,326,227,0:00:37,83,93.98,33.44
Contact Us | Local Homeless Coordinating Board,326,256,0:02:24,50,54,38.34
Office of the Mayor : Mayor Lee's 2013 State of the City Address,326,275,0:03:15,220,75.91,72.39
San Francisco Ethics Commission: Announcement of Important Changes to San Francisco's Campaign Finance Ordinance Now in Effect,326,157,0:01:00,90,47.78,20.55
Mayor's Office of Housing : Limits for Affordable Rental Projects Under Contract with MOHCD,325,263,0:02:47,164,75,56.62
Turbo Court | Department of Child Support Services,325,271,0:00:59,266,61.65,65.54
San Francisco Port Department : Sport Fishing,325,145,0:00:14,27,11.11,14.77
Board of Supervisors : Useful Budget Links,325,186,0:00:43,9,44.44,12.62
City and County of San Francisco : Department of Building Inspection - Code Ruling No. 307(d).94,325,286,0:03:29,274,84.67,80.62
City and County of San Francisco : Development Agreements,325,234,0:00:45,13,23.08,7.08
"City and County of San Francisco : November 4, 2014 Election Results",325,239,0:02:22,215,65.12,59.69
City Hall Preservation Advisory Commission,325,177,0:02:01,83,28.92,19.69
History of the Commission | Civil Service Commission,325,287,0:01:47,72,70.83,32.92
Mayor's Office of Housing : Affordable Housing Fee Schedule,325,267,0:02:59,141,65.25,51.38
Project Areas | Office of Community Investment and Infrastructure,325,186,0:00:31,9,33.33,7.08
Community Services Supervision | Adult Probation Department,324,247,0:00:43,25,56,12.04
Complaint Form Instructions | Office of Citizen Complaints,324,279,0:00:56,14,78.57,16.67
Work-Life Policies and Practices Survey Report | Department on the Status of Women,324,287,0:03:43,239,87.45,74.69
San Francisco Public Works : Green Benefit Districts,324,153,0:00:35,88,18.18,27.16
Lost Pets | Animal Care & Control,324,264,0:02:27,26,59.26,58.64
La Junta del Control de Rentas | Rent Board,324,200,0:01:10,25,64,9.57
Board of Supervisors : Ordinances 2005,323,231,0:01:20,47,78.72,26.32
Mayor's Office of Criminal Justice,323,122,0:01:17,42,26.19,8.05
Topic No. 155: Evictions Based On Breach of No Subletting Clause | Rent Board,323,296,0:01:25,14,50,16.1
San Francisco Law Library : Attorney Resources,322,259,0:00:28,58,77.59,23.29
"Department of Children, Youth and Their Families : DCYF Funded Programs at SFUSD Schools",322,264,0:02:05,60,85,36.65
Environment Department | Welcome,322,284,0:03:33,103,37.14,52.17
Mayor's Office of Housing : Multifamily Housing Development,322,253,0:00:50,99,81.82,32.92
Office of Economic and Workforce Development : International,322,270,0:01:14,69,82.61,38.2
Press Releases | Human Rights Commission,322,242,0:02:10,24,66.67,36.65
Rule 121 Layoff | Civil Service Commission,322,304,0:03:25,87,86.21,58.7
Ciudad y Condado de San Francisco,322,236,0:02:16,224,64.73,67.08
Board of Supervisors : Immigration and Employment,321,205,0:00:38,56,51.79,13.71
Controller : Financial Documents - Archives,321,183,0:00:21,38,94.74,14.95
Office of the Mayor : San Francisco Summer Jobs+,321,268,0:01:40,220,75.45,68.54
San Francisco Police Department : SFPD Guide to Language Assistance Services,321,277,0:02:03,212,81.6,67.6
2015 HRC Hero Awards | Human Rights Commission,321,261,0:02:59,169,75.15,58.26
Rule 118 Conflict of Interest | Civil Service Commission,320,299,0:03:07,85,76.47,48.44
San Francisco Department of Emergency Management : Phase 4: After Action Report and Improvement Planning,320,298,0:03:12,286,93.36,88.12
San Francisco Police Department : Missing Person: Joseph Metwally,320,307,0:00:33,57,94.74,27.81
San Francisco Fire Department : 2.02 Submittal Requirements for Kitchen Hood and Duct Extinguishing Systems,320,302,0:04:53,278,91.01,86.25
"San Francisco Rent Board : Rules and Regulations §12.19 Amended, Effective 9/17/13",320,272,0:03:02,154,70.78,51.88
City and County of San Francisco : 2013 GALLERY,320,270,0:00:59,30,86.67,22.81
"Committee on Information Technology : February 12, 2015",320,250,0:01:20,98,75.51,47.19
Get Involved | Mission Bay Pavilion Project,320,239,0:01:31,64,45.31,32.19
San Francisco Law Library : San Francisco Law,319,260,0:03:34,53,94.34,52.35
SFGov : Economy,319,78,0:01:20,30,36.67,12.85
COA_Application_and_Instructions_TOT.pdf | Treasurer & Tax Collector,319,235,0:01:23,9,22.22,24.76
How to Comply with the Equal Benefits Ordinance | Human Rights Commission,319,269,0:04:28,197,85.28,73.35
Monthly Parking Tax eFiling | Treasurer & Tax Collector,319,263,0:02:59,83,44.58,42.95
San Francisco Bicycle Route Map | Bicycle Advisory Committee,319,244,0:01:15,35,61.11,44.2
San Francisco Police Department : Save Operation D.R.E.A.M. Toy Drive,319,277,0:01:52,247,84.62,75.55
City and County of San Francisco : Provisional Voting,318,282,0:01:42,160,68.75,54.4
San Francisco Police Department : Department News and Updates : US Federal Court Hands Down Guilty Verdict Against San Francisco Police Officer; Acquits Another of All Charges,318,303,0:01:27,226,80.53,66.04
About Us | Southeast Community Facility Commission,318,217,0:00:20,21,66.67,15.41
San Francisco Department of Emergency Management : ACS Meeting Information,318,225,0:01:16,60,66.67,35.22
San Francisco : Web Services,317,286,0:01:33,240,82.92,77.29
San Francisco Public Works : Marina Green Bicycle Trail Project,317,171,0:00:33,71,29.58,25.55
City and County of San Francisco : Department of Public Health,317,248,0:01:32,231,59.74,54.89
Office of the Mayor : December 2014,317,260,0:00:48,28,75,28.39
San Francisco Fire Department : Proposed 2010 San Francisco Fire Code Ordinance to be Presented to the SF Board of Supervisors,317,294,0:02:47,11,63.64,41.32
"San Francisco Ethics Commission: Agenda - March 23, 2015",316,213,0:03:27,121,77.69,49.37
Controller : Documents,316,253,0:00:11,41,90.24,13.61
City and County of San Francisco : Ordinances,316,237,0:01:08,83,88.1,45.25
Department of Aging and Adult Services | Welcome,316,263,0:02:32,159,32.1,50.32
Oversight Board | Office of Community Investment and Infrastructure,316,228,0:00:25,38,26.32,9.49
Payroll Expense Tax ePayments & Info | Treasurer & Tax Collector,316,233,0:01:00,36,38.89,22.15
San Francisco Police Department : OCC Decision Issued,316,216,0:00:20,122,88.52,36.71
San Francisco Port Department : Port News : Statement on Sinbad's Eviction,316,181,0:00:38,55,38.18,27.22
San Francisco Rent Board : Our Services - Chinese,316,251,0:02:11,63,79.37,32.28
Soft Story Properties List | Department of Building Inspection,316,238,0:05:24,31,53.33,55.38
San Francisco Department of Human Resources : FAQ: Medical Provider Network,315,254,0:01:28,70,72.86,32.38
Office of Economic and Workforce Development : 2015 WISF Meeting Schedule,315,266,0:00:56,109,87.16,48.25
Office of the Mayor : City Organization Overview,315,283,0:00:51,141,84.4,54.29
SFGov : Digital Inclusion,315,255,0:02:13,224,65.62,57.78
San Francisco Public Works : Community Clean Team Project Request,315,134,0:00:22,56,16.07,15.24
San Francisco Rent Board : 主題編號012：房屋管理處服務簡介 — 我們提供的服務和不提供的服務,315,272,0:01:57,55,69.09,24.13
San Francisco Ethics Commission: Audit Program,314,156,0:00:21,6,0,2.23
"Department of Children, Youth and Their Families : DCYF Public Notices",313,267,0:01:32,156,97.44,61.34
San Francisco Fire Department : 4.08 Design Criteria for Installation of Underground Piping for Fire Sprinkler Service,313,296,0:02:50,277,92.42,87.54
"Office of the Mayor : News Releases : Mayor Lee, Supervisors & SFMTA Announce $6.8 Million Gift from Google to Fund Free Muni for Low Income Youth",312,283,0:03:57,270,83.7,80.45
***RESPONSE FROM TREASURER JOSÉ CISNEROS ON AIRBNB’S STATEMENT OF TAXES PAID TO THE CITY AND COUNTY OF SAN FRANCISCO*** | Treasurer & Tax Collector,312,243,0:02:28,135,65.19,41.67
City and County of San Francisco : Email Sign-Up: Formula Retail Labor Protections,312,273,0:01:50,27,22.22,15.06
City and County of San Francisco : LBE Certification and Compliance,312,282,0:02:13,124,59.68,39.74
Mayor's Office of Housing : FAQ on Subordination Requests,312,271,0:02:01,148,83.11,54.49
San Francisco 311 : Homeless - Resources - Youth / Teens - Homeless Programs and Services,312,243,0:02:31,226,84.96,73.4
San Francisco Department of Human Resources : 24-PLUS Enhanced for Supervisors and Managers - DPH Program,311,234,0:05:23,208,66.35,61.41
"City and County of San Francisco : November 3, 2015 Election SP",311,186,0:01:51,68,72.06,26.37
In Child Care Settings | Asthma Task Force,311,239,0:02:32,151,69.54,58.2
"San Francisco Fire Department : Photo Gallery: 4 Alarm Fire (June 20, 2012)",311,311,0:00:07,310,99.03,98.71
San Francisco Port Department : Pier 70 Area: Building 14,310,131,0:00:36,44,13.64,15.16
Office of Economic and Workforce Development : State Enterprise Zone,310,274,0:03:40,236,86.02,78.06
Office of the Mayor : Scholarship Awardees,310,262,0:01:34,179,89.39,69.03
Public Notices | Welcome,310,178,0:01:07,15,37.5,22.9
Rule 103 Equal Employment Opportunity | Civil Service Commission,310,280,0:02:26,30,83.33,32.58
San Francisco Fire Department : Neighborhood Coordinator's Corner,310,249,0:00:38,25,68,17.1
Services/Offerings and Locations | Southeast Community Facility Commission,310,247,0:01:11,8,75,27.1
San Francisco Ethics Commission: Calendar,309,280,0:01:05,27,48.15,26.21
Division of Support Services | Fire Department,309,238,0:00:42,28,46.43,12.3
San Francisco Port Department : Pier 52 Public Boat Launch,309,136,0:00:50,77,23.38,28.8
Fire Marshal & Assistant Deputy Chief - Daniel De Cossio | Fire Department,309,260,0:00:41,77,57.14,26.21
San Francisco Department of Human Resources : 24-PLUS Enhanced for Supervisors and Managers - LIB Program,309,227,0:04:02,167,73.65,65.7
San Francisco Police Department : Crime Prevention Tips: Identity Theft,309,285,0:03:14,193,67.36,60.84
San Francisco Port Department : Passenger Statistics,308,142,0:00:42,13,15.38,19.81
Featured | Treasurer & Tax Collector,308,236,0:00:53,10,40,8.77
Gender Analysis Guidelines | Department on the Status of Women,308,285,0:03:30,187,90.37,70.13
San Francisco Ethics Commission: Major Developers - Forms and Manuals,308,226,0:02:13,68,64.71,40.58
San Francisco Port Department : Ferry Building Area Planning,308,136,0:00:25,55,7.27,20.13
SFERS : Survivor Benefits,308,243,0:00:57,72,79.17,25.32
Commission 2015 Meeting Schedule | Department on the Status of Women,307,249,0:01:21,19,57.89,24.76
Controller : CAFR:Letter of Transmittal,307,287,0:03:48,286,94.41,93.49
San Francisco Port Department : Central Waterfront Advisory Group : Central Waterfront Advisory Group Meeting,307,123,0:00:26,27,11.11,17.26
San Francisco Public Works : Community to Celebrate Construction of Ingleside Garden,307,157,0:00:11,133,18.8,44.63
San Francisco Public Works : Polk Street Bikeway Improvement Project,307,162,0:00:27,79,24.05,28.01
San Francisco Rent Board : 主題編號151：分租及更換室友,307,263,0:02:52,55,74.55,28.66
San Francisco Port Department : Port News : City/Port of SF Files Lawsuit Against Sinbad's,306,180,0:00:57,66,39.39,30.07
"San Francisco Fire Department : Photo Gallery: 4 Alarm Fire (September 27, 2011)",306,306,0:00:22,304,100,99.67
Board of Supervisors : Disclaimers,306,283,0:00:36,75,85.33,37.25
Board of Supervisors : Entertainment Commission,306,251,0:01:45,96,69.79,35.62
Code Enforcement Outreach Program | Department of Building Inspection,306,232,0:02:24,191,63.87,57.84
Film Commission : Business FAQ,306,270,0:01:19,47,89.36,29.08
Mayor's Office of Housing and Community Development : BMR Annual Monitoring Compliance FAQ,306,249,0:02:30,159,66.04,48.04
San Francisco Police Department : In Memoriam of Fallen Officers,305,200,0:00:57,152,73.68,50.16
4th of July on Treasure Island | Treasure Island Development Authority,305,282,0:02:09,240,82.5,80.33
About | Fine Arts Museums of San Francisco,305,253,0:00:49,14,78.57,33.11
Board of Supervisors : FY 2014-2015 & FY 2015-2016,305,216,0:01:34,144,61.81,43.93
City and County of San Francisco : Back Streets Business Advisory Board,305,210,0:02:11,132,43.18,30.16
City and County of San Francisco : Email Sign Up: HCAO & MCO,305,256,0:01:52,75,57.33,26.56
"Committee on Information Technology : May 14, 2015",305,253,0:01:34,89,94.38,49.18
New Ordinance Amendments Re Eviction Protections And Allowance Of Additional Occupants | Rent Board,305,263,0:03:42,34,48.48,33.77
Office of Economic and Workforce Development : Sister City Program,305,250,0:00:42,66,54.55,24.26
Office of the Mayor : Balancing the Budget,305,274,0:02:13,244,77.46,71.8
San Francisco 311 : DPH - Death Registry - Scattering Ashes,305,230,0:03:07,227,75.33,71.15
San Francisco Department of Emergency Management : Doing Business with DEM,305,276,0:00:54,83,96.39,47.54
San Francisco Port Department : Fisherman's Wharf Planning Process & Reccomendations,305,121,0:00:21,22,4.55,13.11
San Francisco Public Works : Establishing Street Names,304,153,0:01:08,98,16.33,36.18
Controller : More News and Events,304,272,0:01:40,113,84.07,49.67
Routine Inspections | Department of Building Inspection,304,183,0:03:06,58,67.24,35.2
San Francisco Department of Human Resources : eHRPPM,304,213,0:00:32,191,19.9,17.43
San Francisco District Attorney : Collaborative Courts Programs,304,245,0:03:07,145,82.76,50.66
San Francisco Fire Department : Criteria for Medal Awards,304,231,0:01:09,136,90.44,54.28
San Francisco Public Works : Broadway Streetscape Improvement Project Phase III,304,152,0:00:45,75,14.67,25
San Francisco Public Works : Hamilton Recreation Center & Playground Renovation Project,304,175,0:00:30,136,35.29,44.41
San Francisco Port Department : Port Events : Arcadia (cruise ship),303,159,0:00:36,28,32.14,30.03
Board of Supervisors : Ordinances 2007,303,231,0:01:17,33,87.88,23.76
Child Abuse Intervention Program - Proposal for Implementation | Department on the Status of Women,303,276,0:05:56,265,89.81,86.47
San Francisco Department of Emergency Management : Functional,303,272,0:00:06,12,83.33,9.24
webAdm01 | Department of Building Inspection,302,191,0:02:13,127,7.87,8.61
Board of Supervisors : Office of Early Care and Education Citizens' Advisory Committee,302,221,0:02:59,154,73.38,54.97
City and County of San Francisco : ADA Coordinator Tool Kit,302,162,0:00:45,51,94.12,28.15
"DBI Director Tom C. Hui, S.E., C.B.O. | Department of Building Inspection",302,240,0:02:29,86,59.3,37.42
Office of the Mayor : HOPE Documents,302,259,0:00:55,67,94.03,42.38
"San Francisco Ethics Commission: Fact Sheet for Non-Candidates Regarding Recent Changes to San Francisco's Campaign Finance Ordinance Now Effective July 25, 2015",302,189,0:02:14,44,59.09,26.16
San Francisco Fire Department : Compact Fluorescent Lamp (CFL) Safety Information,302,251,0:02:56,250,86,82.12
Volunteer Services | Animal Care & Control,302,275,0:02:32,49,84,61.26
SFERS : Death Benefits,301,252,0:01:14,111,90.99,46.18
Board of Supervisors : Minutes,301,156,0:00:15,14,100,5.65
City and County of San Francisco : Frequently Asked Questions For High School Poll Workers,301,272,0:01:38,76,78.95,48.84
City and County of San Francisco : Pet Disaster Plan,301,253,0:01:01,38,44.74,20.6
Mayor's Office of Housing : Community Development,301,107,0:00:40,33,60.61,10.96
Office of the Mayor : September 2015,301,239,0:00:42,47,91.49,28.57
San Francisco District Attorney : Former San Francisco Police Officer Found Guilty of Two Counts of Bribery,301,270,0:01:32,124,81.45,57.81
SFGOV Online Services,301,65,0:00:14,16,6.25,5.98
San Francisco Public Works : Masonic Avenue Streetscape Improvements Project,300,272,0:03:57,256,77.34,73.33
Board of Supervisors : Orders of Determination 2014,300,153,0:00:47,35,65.71,15
C. Covered Employees | Office of Labor Standards Enforcement,300,233,0:02:40,48,57.14,42.67
Campaign Services | Department of Elections,300,182,0:01:15,10,0,7.67
City and County of San Francisco : Volunteer Docent Tour Program,300,252,0:01:00,96,73.96,47.67
NERT Continuing Education Training Opportunities | Fire Department,300,234,0:01:32,62,53.85,31.67
Page not found | Civil Service Commission,300,219,0:00:41,40,46.15,13
San Francisco District Attorney : SFDA & LADA OFFICES FILE CONSUMER PROTECTION AND UNLAWFUL BUSINESS PRACTICES ACTION AGAINST UBER / ANNOUNCE SETTLEMENT WITH LYFT,300,264,0:02:09,234,90.6,80.33
San Francisco Law Library : Policies & Rules,300,251,0:01:12,58,91.38,43.33
San Francisco Port Department : Pier 70 Area: Union Iron Works Office Building - Building 104,300,129,0:00:45,54,18.52,19.67
San Francisco Public Works : Grand Opening of San Francisco’s New Police Headquarters Set for April 16,300,156,0:00:31,136,20.59,45.33
San Francisco Rent Board : Topic No. 326: Substantial Rehabilitation Petitions,300,272,0:02:05,73,79.45,35.67
San Francisco Rent Board : Chapeter 49A,299,276,0:01:20,9,88.89,15.38
Board of Supervisors : Former Supervisor Sean Elsbernd,299,275,0:01:55,224,85.71,76.25
City and County of San Francisco : Department of Building Inspection - Office Policy and Procedure,299,258,0:01:26,239,79.5,73.58
City and County of San Francisco : SF City ID Card - Business Participation,299,247,0:00:54,19,78.95,25.75
City and County of San Francisco : United Nations Plaza Gift Gallery Market,299,261,0:02:18,148,83.78,63.55
In Tribute to Our Fallen Heroes: Lt. Vincent A. Perez and FF/PM Anthony M. Valerio | Fire Department,299,244,0:01:22,51,82.35,21.07
Office of the Mayor : News Releases : Mayor Lee Signs Legislation to Regulate Short-Term Residential Rentals In San Francisco,299,259,0:02:53,236,77.97,74.58
San Francisco Law Library : About the SFLL,299,254,0:01:10,50,70,29.77
San Francisco Police Department : Department News and Updates : SFPD Text Message Investigation Completed,299,268,0:02:44,185,78.92,63.21
San Francisco Public Works : San Bruno Streetscape Improvement Project,299,153,0:00:15,36,22.22,14.38
San Francisco Law Library : Federal Law,298,177,0:04:51,62,95.16,41.61
Board of Supervisors : Organization Chart,298,259,0:00:57,60,88.33,28.19
San Francisco Fire Department : 5.07 Air Replenishment Systems,298,280,0:02:55,273,91.21,87.25
San Francisco Police Department : Victim Resources,298,280,0:02:34,202,80.69,65.77
"Street Artists Committee - September 9, 2015 - Meeting Agenda | San Francisco Arts Commission",298,190,0:04:21,116,76.72,52.35
San Francisco Fire Department : 4.23 Combination Fire Services,297,284,0:03:32,275,95.27,91.58
City and County of San Francisco : Election Results 2003,297,139,0:00:37,64,56.25,19.19
Clipper Cove Anchorage Permits | Treasure Island Development Authority,297,242,0:02:36,206,75.24,65.99
Office of the Mayor : Mayor's Fund for the Homeless,297,265,0:01:14,82,73.17,34.68
San Francisco Department of Human Resources : 24-PLUS Enhanced for Supervisors - November 2015,297,207,0:04:28,177,78.53,61.62
Public Housing: Mayor Celebrates with HUD Public Housing Milestone | Welcome,296,255,0:02:43,112,61.06,54.73
City and County of San Francisco : How to Apply for a Place of Entertainment/Extended Hours Permit Application Process FAQ,296,234,0:01:53,82,62.2,36.49
City and County of San Francisco : Register to Vote,296,249,0:01:24,180,72.22,60.47
Directory of Certified LBEs | Contract Monitoring Division,296,245,0:05:38,105,16.96,67.23
San Francisco Public Works : Hand-crafted Mosaic Stairway Opens in the Bayview,296,158,0:00:40,155,31.61,52.36
San Francisco Rent Board : 主題編號203：以業主或其親屬入住為理由進行迫遷的通告規定,296,253,0:02:53,45,73.33,23.65
SFERS : Finance Committee,296,240,0:00:18,106,100,37.84
Uniform Hotel Visitor Policy | Rent Board,296,200,0:01:51,60,73.33,34.46
San Francisco Department of Emergency Management : Full-Scale,296,283,0:00:04,9,88.89,10.47
San Francisco Port Department : 2762R Registration Form to Download Electronic Bid Documents,296,101,0:00:44,43,4.65,28.04
Office of the Mayor : News Releases : Mayor Lee Announces City’s Open Data Strategic Plan,295,265,0:04:11,247,83.4,80.68
City and County of San Francisco : MOD Mission Statement,295,242,0:01:23,30,80,27.12
Mayor's Office of Housing : Programs,295,218,0:01:47,129,71.32,41.36
San Francisco Rent Board : Foreclosures,295,267,0:01:41,71,81.69,37.29
San Francisco Port Department : Bayview Gateway,294,132,0:00:40,86,15.12,29.25
San Francisco Public Works : Management and Performance Audits,294,164,0:00:34,68,1.47,24.83
2013 Tax Year Exclusion and Credit Reports | Treasurer & Tax Collector,294,168,0:01:10,2,0,13.27
Mayor's Office of Housing and Community Development : BMR Rental Program Application Review Process,294,257,0:02:51,124,70.97,55.44
Rule 101 Authority and Purpose | Civil Service Commission,294,256,0:01:38,13,61.54,19.05
San Francisco Police Department : Special Investigations Div: Hate Crimes,294,249,0:02:44,207,71.98,67.35
San Francisco Port Department : DIRECTIONS | Public Transport,294,114,0:00:31,96,0,32.31
Medical & Billing Records | Fire Department,293,223,0:00:22,23,30.43,9.56
Chief Adult Probation Officer Wendy Still Biography | Adult Probation Department,293,256,0:01:33,90,70,47.78
City and County of San Francisco : Small Business Revolving Loan Fund (RLF),293,263,0:02:20,237,76.79,73.38
Office of Civic Engagement & Immigrant Affairs,293,186,0:01:42,97,31.63,20.48
San Francisco Police Department : Department News and Updates : Off Duty SFPD Officer Arrested for Hit and Run Involving Serious Injuries,293,265,0:01:40,208,85.58,69.97
San Francisco Port Department : Port News : Port to Update Land Use Plan: Invites Public to Participate,293,164,0:00:52,61,32.79,35.84
Board of Supervisors : News and Events,292,210,0:00:36,17,82.35,20.21
SFERS : News : Announcing: 2015 SFERS Path to Retirement Seminar Schedule,292,257,0:02:02,89,88.76,36.99
SFGov : Computer Training,292,169,0:02:06,169,64.5,56.85
City and County of San Francisco : Election Results 2002,292,135,0:00:37,67,59.7,18.84
City and County of San Francisco : Step 8. Hire Your Workforce,292,262,0:01:36,169,81.66,62.33
Contact Us | Office of the City Administrator,292,235,0:00:42,10,36.36,25.34
Coordinated Assesment | Local Homeless Coordinating Board,292,201,0:00:49,42,30.95,13.36
"Office of Community Investment and Infrastructure : RFPs, RFQs & Bids",292,236,0:03:16,205,78.54,71.92
Office of the Mayor : Mayor Lee Announces Long Term & Comprehensive Hiring Plan for City’s Police & Fire,292,278,0:02:41,268,89.55,87.33
Other Publications | Civil Service Commission,292,244,0:00:29,4,0,6.85
San Francisco Public Works : Subdivision and Mapping,292,111,0:00:01,96,0,33.22
SFERS : Miscellaneous Safety Members,292,254,0:00:24,88,82.95,26.71
City and County of San Francisco : Approved Testing Labs for Electrical Products,291,201,0:02:59,190,71.58,65.64
City and County of San Francisco Holidays | Welcome,291,263,0:00:44,32,63.64,34.36
"Street Artists Committee - May 13, 2015 - Meeting Agenda | San Francisco Arts Commission",291,204,0:03:38,147,75.51,60.14
Controller : Investigative Process,291,237,0:01:41,152,94.74,64.26
City and County of San Francisco : Greater Rincon Hill Community Benefit District (GRHCBD),291,221,0:01:48,168,64.88,53.95
Full Commission | Human Rights Commission,290,134,0:01:01,16,50,11.38
"Building Inspection Commission - October 15, 2014 - Meeting Minutes | Department of Building Inspection",290,252,0:01:20,8,87.5,21.38
City and County of San Francisco : Selling to the City and County of San Francisco,290,259,0:08:50,244,90.57,83.45
Controller : Claim Frequency,290,127,0:01:07,112,96.43,41.03
Fictitious Business Name (FBN) Change/Refiling/Renewal | Office of the County Clerk,290,218,0:01:33,25,48,22.41
Office of the Mayor : News Releases : Mayor Lee Launches Climate Action Strategies to Meet City’s Bold Greenhouse Reduction Goals,290,262,0:03:17,178,83.15,72.76
San Francisco Public Works : 2014 Mechanical Street Sweeping Holiday Schedule,289,230,0:01:17,161,69.57,55.71
Controller : Master Fee Schedules,289,257,0:03:08,163,88.34,69.9
San Francisco Department of Human Resources : Emerge,289,216,0:01:09,56,37.5,25.95
San Francisco Port Department : Port News : Dreamforce Conference Cruise Ship Charter Talking Points,289,131,0:01:09,89,22.47,35.29
MoneyGram Child Support Payments | Department of Child Support Services,289,172,0:00:43,53,60.38,24.91
City and County of San Francisco : Step 7. Leverage City Incentives,289,244,0:01:57,85,83.53,46.71
Payroll Expense Tax Statement: Tax filing & payment due (if applicable) for previous year | Treasurer & Tax Collector,289,231,0:00:30,19,89.47,15.22
San Francisco 311 : Complaints - Restaurants - 106970,289,214,0:02:52,182,73.08,63.67
San Francisco Department of Emergency Management : Drill,289,262,0:00:19,12,75,9.34
San Francisco Port Department : Project Review Process,288,91,0:00:36,63,0,22.57
Housing | Office of Community Investment and Infrastructure,288,166,0:00:54,25,52,16.67
San Francisco : Download Viewers,287,261,0:01:14,199,79.4,69.34
SFGov : Free and Affordable Food,287,202,0:01:57,202,71.78,70.03
San Francisco Port Department : Port News : Princess Cruises to Base Ship Year Round in San Francisco,287,141,0:00:39,125,17.6,42.51
"Office of the Mayor : News Releases : Mayor Lee Nominates Four Community Leaders to Police, SFMTA & Planning Commissions",287,261,0:05:37,241,85.48,82.93
San Francisco : Change Font Size,287,255,0:01:23,205,82.93,70.73
San Francisco 311 : Park Activities,287,230,0:01:34,20,95,51.57
Rule 311 Examinations | Civil Service Commission,286,260,0:03:03,160,84.38,66.78
Charter & Code Provisions | Board of Appeals,286,190,0:01:49,6,0,26.22
City and County of San Francisco : Technical Assistance,286,226,0:03:35,197,77.66,67.13
Office of Economic and Workforce Development : Committees of Workforce Investment San Francisco Meeting,286,197,0:01:20,115,86.96,46.85
"San Francisco Law Library : SF Local, State & Federal Legislators",286,158,0:02:26,130,63.85,43.71
"San Francisco Police Department : September 16, 2015",286,260,0:01:16,83,93.98,48.25
San Francisco Police Department : Department News and Updates : Pride Weekend Incidents/ Arrest Stats,285,252,0:01:17,177,74.01,53.33
San Francisco Police Department : Missing Person: Jonathan Ogawa,285,275,0:00:29,60,90,30.88
