"","PageTitle","Entrances","Bounce.Rate","X..Exit","AvgTimeonPage","PageViews","UniquePageViews"
"4098","San Francisco Port Department : Port News : Statement on Sinbad's Eviction",55,38.18,27.22,"38S",316,181
"4099","San Francisco Rent Board : Our Services - Chinese",63,79.37,32.28,"2M 11S",316,251
"4100","Soft Story Properties List | Department of Building Inspection",31,53.33,55.38,"5M 24S",316,238
"4101","San Francisco Department of Human Resources : FAQ: Medical Provider Network",70,72.86,32.38,"1M 28S",315,254
"4102","Office of Economic and Workforce Development : 2015 WISF Meeting Schedule",109,87.16,48.25,"56S",315,266
"4103","Office of the Mayor : City Organization Overview",141,84.4,54.29,"51S",315,283
"4104","SFGov : Digital Inclusion",224,65.62,57.78,"2M 13S",315,255
"4105","San Francisco Public Works : Community Clean Team Project Request",56,16.07,15.24,"22S",315,134
"4106","San Francisco Rent Board : 主題編號012：房屋管理處服務簡介 — 我們提供的服務和不提供的服務",55,69.09,24.13,"1M 57S",315,272
"4107","San Francisco Ethics Commission: Audit Program",6,0,2.23,"21S",314,156
"4108","Department of Children, Youth and Their Families : DCYF Public Notices",156,97.44,61.34,"1M 32S",313,267
"4109","San Francisco Fire Department : 4.08 Design Criteria for Installation of Underground Piping for Fire Sprinkler Service",277,92.42,87.54,"2M 50S",313,296
"4110","Office of the Mayor : News Releases : Mayor Lee, Supervisors & SFMTA Announce $6.8 Million Gift from Google to Fund Free Muni for Low Income Youth",270,83.7,80.45,"3M 57S",312,283
"4111","***RESPONSE FROM TREASURER JOSÉ CISNEROS ON AIRBNB’S STATEMENT OF TAXES PAID TO THE CITY AND COUNTY OF SAN FRANCISCO*** | Treasurer & Tax Collector",135,65.19,41.67,"2M 28S",312,243
"4112","City and County of San Francisco : Email Sign-Up: Formula Retail Labor Protections",27,22.22,15.06,"1M 50S",312,273
"4113","City and County of San Francisco : LBE Certification and Compliance",124,59.68,39.74,"2M 13S",312,282
"4114","Mayor's Office of Housing : FAQ on Subordination Requests",148,83.11,54.49,"2M 1S",312,271
"4115","San Francisco 311 : Homeless - Resources - Youth / Teens - Homeless Programs and Services",226,84.96,73.4,"2M 31S",312,243
"4116","San Francisco Department of Human Resources : 24-PLUS Enhanced for Supervisors and Managers - DPH Program",208,66.35,61.41,"5M 23S",311,234
"4117","City and County of San Francisco : November 3, 2015 Election SP",68,72.06,26.37,"1M 51S",311,186
"4118","In Child Care Settings | Asthma Task Force",151,69.54,58.2,"2M 32S",311,239
"4119","San Francisco Fire Department : Photo Gallery: 4 Alarm Fire (June 20, 2012)",310,99.03,98.71,"7S",311,311
"4120","San Francisco Port Department : Pier 70 Area: Building 14",44,13.64,15.16,"36S",310,131
"4121","Office of Economic and Workforce Development : State Enterprise Zone",236,86.02,78.06,"3M 40S",310,274
"4122","Office of the Mayor : Scholarship Awardees",179,89.39,69.03,"1M 34S",310,262
"4123","Public Notices | Welcome",15,37.5,22.9,"1M 7S",310,178
"4124","Rule 103 Equal Employment Opportunity | Civil Service Commission",30,83.33,32.58,"2M 26S",310,280
"4125","San Francisco Fire Department : Neighborhood Coordinator's Corner",25,68,17.1,"38S",310,249
"4126","Services/Offerings and Locations | Southeast Community Facility Commission",8,75,27.1,"1M 11S",310,247
"4127","San Francisco Ethics Commission: Calendar",27,48.15,26.21,"1M 5S",309,280
"4128","Division of Support Services | Fire Department",28,46.43,12.3,"42S",309,238
"4129","San Francisco Port Department : Pier 52 Public Boat Launch",77,23.38,28.8,"50S",309,136
"4130","Fire Marshal & Assistant Deputy Chief - Daniel De Cossio | Fire Department",77,57.14,26.21,"41S",309,260
"4131","San Francisco Department of Human Resources : 24-PLUS Enhanced for Supervisors and Managers - LIB Program",167,73.65,65.7,"4M 2S",309,227
"4132","San Francisco Police Department : Crime Prevention Tips: Identity Theft",193,67.36,60.84,"3M 14S",309,285
"4133","San Francisco Port Department : Passenger Statistics",13,15.38,19.81,"42S",308,142
"4134","Featured | Treasurer & Tax Collector",10,40,8.77,"53S",308,236
"4135","Gender Analysis Guidelines | Department on the Status of Women",187,90.37,70.13,"3M 30S",308,285
"4136","San Francisco Ethics Commission: Major Developers - Forms and Manuals",68,64.71,40.58,"2M 13S",308,226
"4137","San Francisco Port Department : Ferry Building Area Planning",55,7.27,20.13,"25S",308,136
"4138","SFERS : Survivor Benefits",72,79.17,25.32,"57S",308,243
"4139","Commission 2015 Meeting Schedule | Department on the Status of Women",19,57.89,24.76,"1M 21S",307,249
"4140","Controller : CAFR:Letter of Transmittal",286,94.41,93.49,"3M 48S",307,287
"4141","San Francisco Port Department : Central Waterfront Advisory Group : Central Waterfront Advisory Group Meeting",27,11.11,17.26,"26S",307,123
"4142","San Francisco Public Works : Community to Celebrate Construction of Ingleside Garden",133,18.8,44.63,"11S",307,157
"4143","San Francisco Public Works : Polk Street Bikeway Improvement Project",79,24.05,28.01,"27S",307,162
"4144","San Francisco Rent Board : 主題編號151：分租及更換室友",55,74.55,28.66,"2M 52S",307,263
"4145","San Francisco Port Department : Port News : City/Port of SF Files Lawsuit Against Sinbad's",66,39.39,30.07,"57S",306,180
"4146","San Francisco Fire Department : Photo Gallery: 4 Alarm Fire (September 27, 2011)",304,100,99.67,"22S",306,306
"4147","Board of Supervisors : Disclaimers",75,85.33,37.25,"36S",306,283
"4148","Board of Supervisors : Entertainment Commission",96,69.79,35.62,"1M 45S",306,251
"4149","Code Enforcement Outreach Program | Department of Building Inspection",191,63.87,57.84,"2M 24S",306,232
"4150","Film Commission : Business FAQ",47,89.36,29.08,"1M 19S",306,270
"4151","Mayor's Office of Housing and Community Development : BMR Annual Monitoring Compliance FAQ",159,66.04,48.04,"2M 30S",306,249
"4152","San Francisco Police Department : In Memoriam of Fallen Officers",152,73.68,50.16,"57S",305,200
"4153","4th of July on Treasure Island | Treasure Island Development Authority",240,82.5,80.33,"2M 9S",305,282
"4154","About | Fine Arts Museums of San Francisco",14,78.57,33.11,"49S",305,253
"4155","Board of Supervisors : FY 2014-2015 & FY 2015-2016",144,61.81,43.93,"1M 34S",305,216
"4156","City and County of San Francisco : Back Streets Business Advisory Board",132,43.18,30.16,"2M 11S",305,210
"4157","City and County of San Francisco : Email Sign Up: HCAO & MCO",75,57.33,26.56,"1M 52S",305,256
"4158","Committee on Information Technology : May 14, 2015",89,94.38,49.18,"1M 34S",305,253
"4159","New Ordinance Amendments Re Eviction Protections And Allowance Of Additional Occupants | Rent Board",34,48.48,33.77,"3M 42S",305,263
"4160","Office of Economic and Workforce Development : Sister City Program",66,54.55,24.26,"42S",305,250
"4161","Office of the Mayor : Balancing the Budget",244,77.46,71.8,"2M 13S",305,274
"4162","San Francisco 311 : DPH - Death Registry - Scattering Ashes",227,75.33,71.15,"3M 7S",305,230
"4163","San Francisco Department of Emergency Management : Doing Business with DEM",83,96.39,47.54,"54S",305,276
"4164","San Francisco Port Department : Fisherman's Wharf Planning Process & Reccomendations",22,4.55,13.11,"21S",305,121
"4165","San Francisco Public Works : Establishing Street Names",98,16.33,36.18,"1M 8S",304,153
"4166","Controller : More News and Events",113,84.07,49.67,"1M 40S",304,272
"4167","Routine Inspections | Department of Building Inspection",58,67.24,35.2,"3M 6S",304,183
"4168","San Francisco Department of Human Resources : eHRPPM",191,19.9,17.43,"32S",304,213
"4169","San Francisco District Attorney : Collaborative Courts Programs",145,82.76,50.66,"3M 7S",304,245
"4170","San Francisco Fire Department : Criteria for Medal Awards",136,90.44,54.28,"1M 9S",304,231
"4171","San Francisco Public Works : Broadway Streetscape Improvement Project Phase III",75,14.67,25,"45S",304,152
"4172","San Francisco Public Works : Hamilton Recreation Center & Playground Renovation Project",136,35.29,44.41,"30S",304,175
"4173","San Francisco Port Department : Port Events : Arcadia (cruise ship)",28,32.14,30.03,"36S",303,159
"4174","Board of Supervisors : Ordinances 2007",33,87.88,23.76,"1M 17S",303,231
"4175","Child Abuse Intervention Program - Proposal for Implementation | Department on the Status of Women",265,89.81,86.47,"5M 56S",303,276
"4176","San Francisco Department of Emergency Management : Functional",12,83.33,9.24,"6S",303,272
"4177","webAdm01 | Department of Building Inspection",127,7.87,8.61,"2M 13S",302,191
"4178","Board of Supervisors : Office of Early Care and Education Citizens' Advisory Committee",154,73.38,54.97,"2M 59S",302,221
"4179","City and County of San Francisco : ADA Coordinator Tool Kit",51,94.12,28.15,"45S",302,162
"4180","DBI Director Tom C. Hui, S.E., C.B.O. | Department of Building Inspection",86,59.3,37.42,"2M 29S",302,240
"4181","Office of the Mayor : HOPE Documents",67,94.03,42.38,"55S",302,259
"4182","San Francisco Ethics Commission: Fact Sheet for Non-Candidates Regarding Recent Changes to San Francisco's Campaign Finance Ordinance Now Effective July 25, 2015",44,59.09,26.16,"2M 14S",302,189
"4183","San Francisco Fire Department : Compact Fluorescent Lamp (CFL) Safety Information",250,86,82.12,"2M 56S",302,251
"4184","Volunteer Services | Animal Care & Control",49,84,61.26,"2M 32S",302,275
"4185","SFERS : Death Benefits",111,90.99,46.18,"1M 14S",301,252
"4186","Board of Supervisors : Minutes",14,100,5.65,"15S",301,156
"4187","City and County of San Francisco : Frequently Asked Questions For High School Poll Workers",76,78.95,48.84,"1M 38S",301,272
"4188","City and County of San Francisco : Pet Disaster Plan",38,44.74,20.6,"1M 1S",301,253
"4189","Mayor's Office of Housing : Community Development",33,60.61,10.96,"40S",301,107
"4190","Office of the Mayor : September 2015",47,91.49,28.57,"42S",301,239
"4191","San Francisco District Attorney : Former San Francisco Police Officer Found Guilty of Two Counts of Bribery",124,81.45,57.81,"1M 32S",301,270
"4192","SFGOV Online Services",16,6.25,5.98,"14S",301,65
"4193","San Francisco Public Works : Masonic Avenue Streetscape Improvements Project",256,77.34,73.33,"3M 57S",300,272
"4194","Board of Supervisors : Orders of Determination 2014",35,65.71,15,"47S",300,153
"4195","C. Covered Employees | Office of Labor Standards Enforcement",48,57.14,42.67,"2M 40S",300,233
"4196","Campaign Services | Department of Elections",10,0,7.67,"1M 15S",300,182
"4197","City and County of San Francisco : Volunteer Docent Tour Program",96,73.96,47.67,"1M 0S",300,252
"4198","NERT Continuing Education Training Opportunities | Fire Department",62,53.85,31.67,"1M 32S",300,234
"4199","Page not found | Civil Service Commission",40,46.15,13,"41S",300,219
"4200","San Francisco District Attorney : SFDA & LADA OFFICES FILE CONSUMER PROTECTION AND UNLAWFUL BUSINESS PRACTICES ACTION AGAINST UBER / ANNOUNCE SETTLEMENT WITH LYFT",234,90.6,80.33,"2M 9S",300,264
"4201","San Francisco Law Library : Policies & Rules",58,91.38,43.33,"1M 12S",300,251
"4202","San Francisco Port Department : Pier 70 Area: Union Iron Works Office Building - Building 104",54,18.52,19.67,"45S",300,129
"4203","San Francisco Public Works : Grand Opening of San Francisco’s New Police Headquarters Set for April 16",136,20.59,45.33,"31S",300,156
"4204","San Francisco Rent Board : Topic No. 326: Substantial Rehabilitation Petitions",73,79.45,35.67,"2M 5S",300,272
"4205","San Francisco Rent Board : Chapeter 49A",9,88.89,15.38,"1M 20S",299,276
"4206","Board of Supervisors : Former Supervisor Sean Elsbernd",224,85.71,76.25,"1M 55S",299,275
"4207","City and County of San Francisco : Department of Building Inspection - Office Policy and Procedure",239,79.5,73.58,"1M 26S",299,258
"4208","City and County of San Francisco : SF City ID Card - Business Participation",19,78.95,25.75,"54S",299,247
"4209","City and County of San Francisco : United Nations Plaza Gift Gallery Market",148,83.78,63.55,"2M 18S",299,261
"4210","In Tribute to Our Fallen Heroes: Lt. Vincent A. Perez and FF/PM Anthony M. Valerio | Fire Department",51,82.35,21.07,"1M 22S",299,244
"4211","Office of the Mayor : News Releases : Mayor Lee Signs Legislation to Regulate Short-Term Residential Rentals In San Francisco",236,77.97,74.58,"2M 53S",299,259
"4212","San Francisco Law Library : About the SFLL",50,70,29.77,"1M 10S",299,254
"4213","San Francisco Police Department : Department News and Updates : SFPD Text Message Investigation Completed",185,78.92,63.21,"2M 44S",299,268
"4214","San Francisco Public Works : San Bruno Streetscape Improvement Project",36,22.22,14.38,"15S",299,153
"4215","San Francisco Law Library : Federal Law",62,95.16,41.61,"4M 51S",298,177
"4216","Board of Supervisors : Organization Chart",60,88.33,28.19,"57S",298,259
"4217","San Francisco Fire Department : 5.07 Air Replenishment Systems",273,91.21,87.25,"2M 55S",298,280
"4218","San Francisco Police Department : Victim Resources",202,80.69,65.77,"2M 34S",298,280
"4219","Street Artists Committee - September 9, 2015 - Meeting Agenda | San Francisco Arts Commission",116,76.72,52.35,"4M 21S",298,190
"4220","San Francisco Fire Department : 4.23 Combination Fire Services",275,95.27,91.58,"3M 32S",297,284
"4221","City and County of San Francisco : Election Results 2003",64,56.25,19.19,"37S",297,139
"4222","Clipper Cove Anchorage Permits | Treasure Island Development Authority",206,75.24,65.99,"2M 36S",297,242
"4223","Office of the Mayor : Mayor's Fund for the Homeless",82,73.17,34.68,"1M 14S",297,265
"4224","San Francisco Department of Human Resources : 24-PLUS Enhanced for Supervisors - November 2015",177,78.53,61.62,"4M 28S",297,207
"4225","Public Housing: Mayor Celebrates with HUD Public Housing Milestone | Welcome",112,61.06,54.73,"2M 43S",296,255
"4226","City and County of San Francisco : How to Apply for a Place of Entertainment/Extended Hours Permit Application Process FAQ",82,62.2,36.49,"1M 53S",296,234
"4227","City and County of San Francisco : Register to Vote",180,72.22,60.47,"1M 24S",296,249
"4228","Directory of Certified LBEs | Contract Monitoring Division",105,16.96,67.23,"5M 38S",296,245
"4229","San Francisco Public Works : Hand-crafted Mosaic Stairway Opens in the Bayview",155,31.61,52.36,"40S",296,158
"4230","San Francisco Rent Board : 主題編號203：以業主或其親屬入住為理由進行迫遷的通告規定",45,73.33,23.65,"2M 53S",296,253
"4231","SFERS : Finance Committee",106,100,37.84,"18S",296,240
"4232","Uniform Hotel Visitor Policy | Rent Board",60,73.33,34.46,"1M 51S",296,200
"4233","San Francisco Department of Emergency Management : Full-Scale",9,88.89,10.47,"4S",296,283
"4234","San Francisco Port Department : 2762R Registration Form to Download Electronic Bid Documents",43,4.65,28.04,"44S",296,101
"4235","Office of the Mayor : News Releases : Mayor Lee Announces City’s Open Data Strategic Plan",247,83.4,80.68,"4M 11S",295,265
"4236","City and County of San Francisco : MOD Mission Statement",30,80,27.12,"1M 23S",295,242
"4237","Mayor's Office of Housing : Programs",129,71.32,41.36,"1M 47S",295,218
"4238","San Francisco Rent Board : Foreclosures",71,81.69,37.29,"1M 41S",295,267
"4239","San Francisco Port Department : Bayview Gateway",86,15.12,29.25,"40S",294,132
"4240","San Francisco Public Works : Management and Performance Audits",68,1.47,24.83,"34S",294,164
"4241","2013 Tax Year Exclusion and Credit Reports | Treasurer & Tax Collector",2,0,13.27,"1M 10S",294,168
"4242","Mayor's Office of Housing and Community Development : BMR Rental Program Application Review Process",124,70.97,55.44,"2M 51S",294,257
"4243","Rule 101 Authority and Purpose | Civil Service Commission",13,61.54,19.05,"1M 38S",294,256
"4244","San Francisco Police Department : Special Investigations Div: Hate Crimes",207,71.98,67.35,"2M 44S",294,249
"4245","San Francisco Port Department : DIRECTIONS | Public Transport",96,0,32.31,"31S",294,114
"4246","Medical & Billing Records | Fire Department",23,30.43,9.56,"22S",293,223
"4247","Chief Adult Probation Officer Wendy Still Biography | Adult Probation Department",90,70,47.78,"1M 33S",293,256
"4248","City and County of San Francisco : Small Business Revolving Loan Fund (RLF)",237,76.79,73.38,"2M 20S",293,263
"4249","Office of Civic Engagement & Immigrant Affairs",97,31.63,20.48,"1M 42S",293,186
"4250","San Francisco Police Department : Department News and Updates : Off Duty SFPD Officer Arrested for Hit and Run Involving Serious Injuries",208,85.58,69.97,"1M 40S",293,265
"4251","San Francisco Port Department : Port News : Port to Update Land Use Plan: Invites Public to Participate",61,32.79,35.84,"52S",293,164
"4252","Board of Supervisors : News and Events",17,82.35,20.21,"36S",292,210
"4253","SFERS : News : Announcing: 2015 SFERS Path to Retirement Seminar Schedule",89,88.76,36.99,"2M 2S",292,257
"4254","SFGov : Computer Training",169,64.5,56.85,"2M 6S",292,169
"4255","City and County of San Francisco : Election Results 2002",67,59.7,18.84,"37S",292,135
"4256","City and County of San Francisco : Step 8. Hire Your Workforce",169,81.66,62.33,"1M 36S",292,262
"4257","Contact Us | Office of the City Administrator",10,36.36,25.34,"42S",292,235
"4258","Coordinated Assesment | Local Homeless Coordinating Board",42,30.95,13.36,"49S",292,201
"4259","Office of Community Investment and Infrastructure : RFPs, RFQs & Bids",205,78.54,71.92,"3M 16S",292,236
"4260","Office of the Mayor : Mayor Lee Announces Long Term & Comprehensive Hiring Plan for City’s Police & Fire",268,89.55,87.33,"2M 41S",292,278
"4261","Other Publications | Civil Service Commission",4,0,6.85,"29S",292,244
"4262","San Francisco Public Works : Subdivision and Mapping",96,0,33.22,"1S",292,111
"4263","SFERS : Miscellaneous Safety Members",88,82.95,26.71,"24S",292,254
"4264","City and County of San Francisco : Approved Testing Labs for Electrical Products",190,71.58,65.64,"2M 59S",291,201
"4265","City and County of San Francisco Holidays | Welcome",32,63.64,34.36,"44S",291,263
"4266","Street Artists Committee - May 13, 2015 - Meeting Agenda | San Francisco Arts Commission",147,75.51,60.14,"3M 38S",291,204
"4267","Controller : Investigative Process",152,94.74,64.26,"1M 41S",291,237
"4268","City and County of San Francisco : Greater Rincon Hill Community Benefit District (GRHCBD)",168,64.88,53.95,"1M 48S",291,221
"4269","Full Commission | Human Rights Commission",16,50,11.38,"1M 1S",290,134
"4270","Building Inspection Commission - October 15, 2014 - Meeting Minutes | Department of Building Inspection",8,87.5,21.38,"1M 20S",290,252
"4271","City and County of San Francisco : Selling to the City and County of San Francisco",244,90.57,83.45,"8M 50S",290,259
"4272","Controller : Claim Frequency",112,96.43,41.03,"1M 7S",290,127
"4273","Fictitious Business Name (FBN) Change/Refiling/Renewal | Office of the County Clerk",25,48,22.41,"1M 33S",290,218
"4274","Office of the Mayor : News Releases : Mayor Lee Launches Climate Action Strategies to Meet City’s Bold Greenhouse Reduction Goals",178,83.15,72.76,"3M 17S",290,262
"4275","San Francisco Public Works : 2014 Mechanical Street Sweeping Holiday Schedule",161,69.57,55.71,"1M 17S",289,230
"4276","Controller : Master Fee Schedules",163,88.34,69.9,"3M 8S",289,257
"4277","San Francisco Department of Human Resources : Emerge",56,37.5,25.95,"1M 9S",289,216
"4278","San Francisco Port Department : Port News : Dreamforce Conference Cruise Ship Charter Talking Points",89,22.47,35.29,"1M 9S",289,131
"4279","MoneyGram Child Support Payments | Department of Child Support Services",53,60.38,24.91,"43S",289,172
"4280","City and County of San Francisco : Step 7. Leverage City Incentives",85,83.53,46.71,"1M 57S",289,244
"4281","Payroll Expense Tax Statement: Tax filing & payment due (if applicable) for previous year | Treasurer & Tax Collector",19,89.47,15.22,"30S",289,231
"4282","San Francisco 311 : Complaints - Restaurants - 106970",182,73.08,63.67,"2M 52S",289,214
"4283","San Francisco Department of Emergency Management : Drill",12,75,9.34,"19S",289,262
"4284","San Francisco Port Department : Project Review Process",63,0,22.57,"36S",288,91
"4285","Housing | Office of Community Investment and Infrastructure",25,52,16.67,"54S",288,166
"4286","San Francisco : Download Viewers",199,79.4,69.34,"1M 14S",287,261
"4287","SFGov : Free and Affordable Food",202,71.78,70.03,"1M 57S",287,202
"4288","San Francisco Port Department : Port News : Princess Cruises to Base Ship Year Round in San Francisco",125,17.6,42.51,"39S",287,141
"4289","Office of the Mayor : News Releases : Mayor Lee Nominates Four Community Leaders to Police, SFMTA & Planning Commissions",241,85.48,82.93,"5M 37S",287,261
"4290","San Francisco : Change Font Size",205,82.93,70.73,"1M 23S",287,255
"4291","San Francisco 311 : Park Activities",20,95,51.57,"1M 34S",287,230
"4292","Rule 311 Examinations | Civil Service Commission",160,84.38,66.78,"3M 3S",286,260
"4293","Charter & Code Provisions | Board of Appeals",6,0,26.22,"1M 49S",286,190
"4294","City and County of San Francisco : Technical Assistance",197,77.66,67.13,"3M 35S",286,226
"4295","Office of Economic and Workforce Development : Committees of Workforce Investment San Francisco Meeting",115,86.96,46.85,"1M 20S",286,197
"4296","San Francisco Law Library : SF Local, State & Federal Legislators",130,63.85,43.71,"2M 26S",286,158
"4297","San Francisco Police Department : September 16, 2015",83,93.98,48.25,"1M 16S",286,260
"4298","San Francisco Police Department : Department News and Updates : Pride Weekend Incidents/ Arrest Stats",177,74.01,53.33,"1M 17S",285,252
"4299","San Francisco Police Department : Missing Person: Jonathan Ogawa",60,90,30.88,"29S",285,275
"4300","Board of Supervisors : Budget Analyst",70,45.71,23.16,"1M 0S",285,182
"4301","City and County of San Francisco : Homeless Pet Food Drive",97,68.04,38.6,"1M 30S",285,241
"4302","City and County of San Francisco : SFHA Re-Envisioning - Executive Summary Translations",45,82.22,18.6,"21S",285,280
"4303","Committee on Information Technology : April 16, 2015",69,84.06,42.46,"1M 53S",285,229
"4304","Create a Workplace Free of Sexual Harassment | Department on the Status of Women",235,94.89,86.32,"3M 14S",285,260
"4305","San Francisco Department of Emergency Management : Tabletop",33,84.85,17.89,"6S",285,253
"4306","San Francisco Fire Department : Summer Safety Tips",208,80.77,72.63,"2M 26S",285,266
"4307","San Francisco Law Library : The Collection",88,77.27,45.26,"2M 10S",285,246
"4308","San Francisco Police Department : Asian American & Pacific Islander Forum",234,74.79,75.44,"4M 4S",285,240
"4309","Board of Supervisors : Audio Archive - Committees",51,70.59,47.54,"4M 1S",284,222
"4310","San Francisco Department of Human Resources : 24-PLUS Enhanced for Supervisors - January 2015",109,74.31,54.93,"3M 26S",284,199
"4311","Controller : Lease Revenue Bonds",49,46.94,24.65,"2M 1S",284,196
"4312","SFERS : Events Calendar : Your Path to Retirement Seminar",61,93.44,25.09,"32S",283,225
"4313","Veterans Affairs Commission | Veterans Affairs Commission",18,50,17.31,"44S",283,188
"4314","City and County of San Francisco : Executive Director",111,73.87,42.76,"1M 9S",283,225
"4315","City and County of San Francisco : Materials",34,52.94,22.97,"1M 7S",283,180
"4316","Media browser | Adult Probation Department",2,0,0.35,"18S",283,148
"4317","San Francisco Ethics Commission: San Francisco Ethics Commission Contributor Guide",75,58.67,36.75,"3M 42S",283,251
"4318","test | Adult Probation Department",13,0,0.71,"1M 8S",283,144
"4319","Meetings | City Hall Preservation Advisory Commission",5,0,4.61,"1M 1S",282,102
"4320","San Francisco Port Department : World War II | Pylon at Pier 7",42,2.38,12.06,"18S",282,102
"4321","City and County of San Francisco : 2012",7,71.43,12.41,"52S",282,159
"4322","City and County of San Francisco : Chambers of Commerce and Business Associations",179,69.27,61.7,"3M 40S",282,183
"4323","City and County of San Francisco : Elections Results 2009",8,12.5,3.9,"26S",282,122
"4324","Committee on Information Technology : January 29, 2015",111,91.89,51.77,"1M 41S",282,258
"4325","Office of the Mayor : News Releases : Mayor Lee & Supervisors Announce Additional $28.9 Million Investment in Supportive Housing & Services for Homeless Residents",133,82.71,67.38,"3M 19S",282,249
"4326","San Francisco Port Department : Notices of Administrative Hearings",65,3.08,23.49,"11S",281,111
"4327","SFERS : Disclaimer",96,96.88,39.5,"25S",281,257
"4328","About Us | Office of Community Investment and Infrastructure",26,65.38,17.79,"1M 0S",281,225
"4329","Board of Supervisors : Ordinances 2002",27,70.37,17.79,"1M 27S",281,190
"4330","City and County of San Francisco : Park Code",204,72.55,66.55,"1M 50S",281,217
"4331","Most Requested | Fire Department",9,33.33,9.96,"25S",281,192
"4332","San Francisco Public Works : Volunteer Information Form",25,16,13.88,"14S",281,130
"4333","Statement of Incompatible Activities | Office of Citizen Complaints",10,30,18.21,"56S",280,176
"4334","Annual Rent Increase for 3/1/13 – 2/28/14 Announced | Rent Board",216,38.71,38.93,"1M 21S",280,243
"4335","City and County of San Francisco : Filing an ADA Complaint or Request for Assistance",94,72.34,40.36,"2M 0S",280,208
"4336","Committee on Information Technology : January 16, 2014",15,53.33,7.14,"1M 43S",280,59
"4337","Homeless Services: Mayor Announces SF311 Services to Assist Residents & Homeless | Welcome",110,64.29,52.5,"2M 14S",280,239
"4338","Mayor's Office of Housing and Community Development : News",124,61.29,41.79,"1M 35S",280,235
"4339","Office of the Mayor : June 2013 : Mayor Lee Announces San Francisco to Host 2015 U.S. Conference of Mayors Annual Meeting",233,79.4,78.93,"4M 15S",280,247
"4340","Office of the Mayor : News Releases : Mayor Lee Celebrates Milestone in U.S. Department of Housing & Urban Development Partnership to Re-Envision, Revitalize & Rebuild City’s Public Housing",192,85.94,75.71,"3M 34S",280,259
"4341","San Francisco Port Department : DIRECTIONS | Sailing Instructions",91,0,33.93,"17S",280,117
"4342","San Francisco Rent Board : Chinese Fact Sheet 4",155,76.13,60.36,"6M 37S",280,243
"4343","San Francisco Rent Board : Topic No. 324: Petition for Rent Increase Based on Past Rent History of Proposition",70,81.43,31.07,"1M 25S",280,265
"4344","Topic No. 011: Rent Board Contact Information and Hours | Rent Board",21,71.43,29.29,"1M 26S",280,243
"4345","San Francisco District Attorney : District Attorney George Gascón Announces Office-Wide Restructuring",203,75.37,67.38,"2M 17S",279,256
"4346","About | Mission Bay Pavilion Project",22,57.14,24.37,"58S",279,214
"4347","San Francisco Fire Department : Calendar",81,70.37,37.99,"41S",279,253
"4348","Board of Supervisors : Ordinances 2006",24,87.5,25.45,"53S",279,221
"4349","San Francisco Police Department : June Pride Month",151,49.01,37.28,"1M 26S",279,213
"4350","Topic No. 328: 1.21 Tenant In Occupancy Petitions | Rent Board",125,67.2,44.8,"2M 36S",279,232
"4351","San Francisco Police Department : Department News and Updates : Sobriety Checkpoint in San Francisco, Jan 23th",204,88.24,73.02,"2M 16S",278,262
"4352","City and County of San Francisco : Cammy Blackstone",181,79.56,58.63,"46S",278,253
"4353","Mayor's Office of Housing and Community Development : For Sale (Limited Equity Program)",58,53.45,17.27,"45S",278,215
"4354","User account | Animal Care & Control",24,29.17,8.27,"1M 27S",278,109
"4355","San Francisco Port Department : Port Events : Regatta (cruise ship)",14,21.43,22.38,"36S",277,145
"4356","San Francisco Police Department : December 9, 2015",96,93.75,70.04,"2M 24S",277,255
"4357","SFGov : Transportation",103,94.17,38.27,"44S",277,146
"4358","Small Business Assistance Center | Office of Small Business",98,74.26,45.13,"2M 10S",277,182
"4359","City and County of San Francisco : 2007 Election Results",5,60,6.5,"31S",277,170
"4360","City and County of San Francisco : DART Disaster Animal Response Team",238,83.19,82.31,"3M 5S",277,244
"4361","City and County of San Francisco : Election Report on Census Data to Board of Supervisors",66,56.06,27.8,"2M 8S",277,118
"4362","City and County of San Francisco : November 3, 2015 Election FI",41,68.29,24.55,"42S",277,196
"4363","Housing Program: Mayor Announces Affordable Housing Bonus Program Legislation | Welcome",40,50,37.91,"1M 25S",277,239
"4364","Office of Economic and Workforce Development : Central Market",72,88.89,41.88,"1M 24S",277,239
"4365","San Francisco Fire Department : Photo Gallery: 2 Alarm Fire (September 10, 2011)",269,98.14,97.11,"13S",277,271
"4366","Family Friendly Workplaces | Department on the Status of Women",84,60.44,52.54,"5M 8S",276,179
"4367","San Francisco 311 : Homeless - Resources - California ID",225,84.89,78.26,"3M 24S",276,248
"4368","Office of Economic and Workforce Development : Stock Based Compensation Payroll Tax Exclusion",182,81.32,70.65,"3M 34S",276,229
"4369","San Francisco Rent Board : 主題編號202：一般的迫遷通告規定",30,76.67,18.12,"1M 46S",276,246
"4370","Statement from Treasurer José Cisneros on Transient Occupancy Taxes Owed to the City and County of San Francisco | Treasurer & Tax Collector",76,70.13,34.78,"1M 37S",276,243
"4371","San Francisco Law Library : Public Computers",44,95.45,30.8,"1M 0S",276,239
"4372","Board of Supervisors : Regularly Scheduled SOTF Meetings",64,34.38,25,"49S",276,235
"4373","San Francisco Ethics Commission: Conflict of Interest Code: Financial Interests Campaign & Gov't Conduct Code, Sections 3.1-100 - 3.1-500",144,61.81,47.46,"2M 18S",276,231
"4374","City and County of San Francisco : Meeting Minutes",47,19.15,8.73,"7S",275,139
